Time,Winner,Rounds Played,P1,P2,P1 Dice,,,,,P2 Dice,,,,,P1 Q call,P1 D call,P2 Q call,P2 D call,P1 Q call,P1 D call,P2 Q call,P2 D call,P1 Q call,P1 D call,P2 Q call,P2 D call,P1 Q call,P1 D call,P2 Q call,P2 D call,P1 Q call,P1 D call,P2 Q call,P2 D call
2022-11-02 19:45:20.309318,Computer_intelligent1,2,Poanage,Computer_intelligent1,2,4,5,3,4,5,4,5,2,2,2,6,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 19:45:46.386671,Poanage,3,Poanage,Computer_intelligent1,5,3,2,5,4,4,5,6,5,5,3,5,3,6,p1_bw,,,,,,,,,,,,,,,
2022-11-02 19:46:33.568291,Poanage,4,Poanage,Computer_intelligent1,4,3,4,6,6,6,3,5,2,2,2,2,2,3,2,4,p2_bl,,,,,,,,,,,,,
2022-11-02 19:46:40.750682,Poanage,2,Poanage,Computer_intelligent1,5,4,2,2,4,4,6,5,6,5,2,2,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 19:47:03.089135,Poanage,4,Poanage,Computer_intelligent1,1,5,1,5,4,3,3,2,5,1,2,1,3,4,3,5,p2_bl,,,,,,,,,,,,,
2022-11-02 19:47:14.076153,Poanage,2,Poanage,Computer_intelligent1,1,6,1,2,3,6,2,2,6,3,2,1,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 19:48:11.648602,Poanage,3,Poanage,Computer_intelligent1,6,3,5,3,2,4,2,5,3,3,2,3,3,6,p1_bw,,,,,,,,,,,,,,,
2022-11-02 19:48:30.504318,Poanage,2,Poanage,Computer_intelligent1,3,1,1,4,4,3,6,3,5,3,2,1,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 19:49:04.545149,Poanage,5,Poanage,Computer_intelligent1,4,1,6,3,6,5,4,6,1,6,2,6,3,2,3,6,4,3,p1_bw,,,,,,,,,,,
2022-11-02 19:49:42.212733,Poanage,4,Poanage,Computer_intelligent1,5,5,1,4,6,2,3,5,4,1,2,5,3,4,3,5,p2_bl,,,,,,,,,,,,,
2022-11-02 19:50:30.090431,Computer_intelligent1,4,Poanage,Computer_intelligent1,4,6,2,4,6,6,2,2,4,3,2,4,2,5,3,5,p2_bw,,,,,,,,,,,,,
2022-11-02 19:50:57.702880,Poanage,4,Poanage,Computer_intelligent1,2,4,2,6,2,5,3,5,2,3,2,2,3,4,4,2,p2_bl,,,,,,,,,,,,,
2022-11-02 19:51:34.624416,Poanage,2,Poanage,Computer_intelligent1,3,1,5,1,2,2,5,4,3,4,2,1,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 19:51:43.073243,Poanage,2,Poanage,Computer_intelligent1,1,5,3,5,2,6,4,3,4,2,2,5,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 19:52:18.161657,Poanage,4,Poanage,Computer_intelligent1,5,1,6,5,2,1,3,2,5,3,2,5,2,6,3,5,p2_bl,,,,,,,,,,,,,
2022-11-18 16:20:38.127947,Computer_intelligent1,3,Computer_intelligent1,Computer_intelligent1,6,6,6,5,3,5,6,6,1,4,2,6,3,5,p1_bw,,,,,,,,,,,,,,,
2022-11-18 16:20:39.744474,Computer_intelligent1,4,Computer_intelligent1,Computer_intelligent1,5,2,6,2,2,4,2,5,1,6,1,4,2,6,3,1,p2_bw,,,,,,,,,,,,,
2022-11-18 16:20:41.239520,Computer_intelligent1,4,Computer_intelligent1,Computer_intelligent1,4,4,5,6,4,2,6,5,1,4,1,4,1,6,2,3,p2_bw,,,,,,,,,,,,,
2022-11-18 16:20:42.408146,Computer_intelligent1,3,Computer_intelligent1,Computer_intelligent1,5,5,4,6,4,1,1,5,6,6,1,5,2,1,p1_bl,,,,,,,,,,,,,,,
2022-11-18 16:20:43.233103,Computer_intelligent1,2,Computer_intelligent1,Computer_intelligent1,6,6,1,6,6,2,6,6,6,5,2,1,p2_bw,,,,,,,,,,,,,,,,,
2022-11-18 16:20:45.032322,Computer_intelligent1,5,Computer_intelligent1,Computer_intelligent1,6,4,4,4,4,3,4,1,4,3,1,2,1,4,1,6,2,5,p1_bw,,,,,,,,,,,
2022-11-18 16:20:46.513031,Computer_intelligent1,4,Computer_intelligent1,Computer_intelligent1,2,1,3,4,6,5,6,5,3,2,1,3,2,3,3,4,p2_bw,,,,,,,,,,,,,
2022-11-18 16:24:06.454709,Computer_intelligent1,2,Joey,Computer_intelligent1,3,6,5,5,5,2,1,2,6,2,4,3,p2_bw,,,,,,,,,,,,,,,,,
2022-11-18 23:30:13.946874,ak,2,ak,Computer_intelligent1,2,3,5,3,1,5,5,1,1,3,3,3,p2_bl,,,,,,,,,,,,,,,,,
2022-11-18 23:30:18.909250,Computer_intelligent1,2,ak,Computer_intelligent1,3,2,5,5,4,3,2,4,1,4,4,4,p2_bw,,,,,,,,,,,,,,,,,
2022-11-18 23:30:24.337285,ak,3,ak,Computer_intelligent1,6,3,4,5,3,4,6,2,3,1,2,2,2,5,p1_bw,,,,,,,,,,,,,,,
